"biome","index","file","type","band","surface","damage","width","height","atlasX","atlasY"
"brine","0","brine_dirt_b0_s0_d0.png","dirt","0","0","0","50","50","0","0"
"brine","1","brine_dirt_b0_s0_d1.png","dirt","0","0","1","50","50","50","0"
"brine","2","brine_dirt_b0_s0_d2.png","dirt","0","0","2","50","50","100","0"
"brine","3","brine_dirt_b0_s0_d3.png","dirt","0","0","3","50","50","150","0"
"brine","4","brine_dirt_b0_s1_d0.png","dirt","0","1","0","50","50","200","0"
"brine","5","brine_dirt_b0_s1_d1.png","dirt","0","1","1","50","50","250","0"
"brine","6","brine_dirt_b0_s1_d2.png","dirt","0","1","2","50","50","300","0"
"brine","7","brine_dirt_b0_s1_d3.png","dirt","0","1","3","50","50","350","0"
"brine","8","brine_dirt_b0_s2_d0.png","dirt","0","2","0","50","50","400","0"
"brine","9","brine_dirt_b0_s2_d1.png","dirt","0","2","1","50","50","450","0"
"brine","10","brine_dirt_b0_s2_d2.png","dirt","0","2","2","50","50","500","0"
"brine","11","brine_dirt_b0_s2_d3.png","dirt","0","2","3","50","50","550","0"
"brine","12","brine_dirt_b1_s0_d0.png","dirt","1","0","0","50","50","600","0"
"brine","13","brine_dirt_b1_s0_d1.png","dirt","1","0","1","50","50","650","0"
"brine","14","brine_dirt_b1_s0_d2.png","dirt","1","0","2","50","50","700","0"
"brine","15","brine_dirt_b1_s0_d3.png","dirt","1","0","3","50","50","750","0"
"brine","16","brine_dirt_b1_s1_d0.png","dirt","1","1","0","50","50","0","50"
"brine","17","brine_dirt_b1_s1_d1.png","dirt","1","1","1","50","50","50","50"
"brine","18","brine_dirt_b1_s1_d2.png","dirt","1","1","2","50","50","100","50"
"brine","19","brine_dirt_b1_s1_d3.png","dirt","1","1","3","50","50","150","50"
"brine","20","brine_dirt_b1_s2_d0.png","dirt","1","2","0","50","50","200","50"
"brine","21","brine_dirt_b1_s2_d1.png","dirt","1","2","1","50","50","250","50"
"brine","22","brine_dirt_b1_s2_d2.png","dirt","1","2","2","50","50","300","50"
"brine","23","brine_dirt_b1_s2_d3.png","dirt","1","2","3","50","50","350","50"
